model,approach,training_hours,phase,dataset,split,n,wer,wer_ci_low,wer_ci_high,cer,cer_ci_low,cer_ci_high,timing_n_samples,total_inference_sec,mean_inference_sec_per_utt,median_inference_sec_per_utt,mean_audio_duration_sec,mean_rtf,median_rtf,speed_x_realtime,train_wall_clock_hours,train_samples,actual_train_hours,best_wer_periodic_eval,best_step,global_step_at_end,source_file
Whisper large-v3,cascaded,0,zero-shot greedy,casablanca_ood,code_switched,0,,,,,,,500,1575.9917637340004,3.1402426646520034,2.608863030750399,3.5506542403628116,1.3069118224451122,0.9306846222945391,0.7651625632470688,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
Whisper large-v3,cascaded,0,zero-shot greedy,casablanca_ood,monolingual,500,0.9662068965517241,0.8735648458707305,1.0843685512067207,0.5514894526795895,0.48207500144768084,0.6413155358281942,500,1575.9917637340004,3.1402426646520034,2.608863030750399,3.5506542403628116,1.3069118224451122,0.9306846222945391,0.7651625632470688,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
Whisper large-v3,cascaded,10,fine-tuned 10h,moulsot_test,full,1962,0.4013940366211208,0.3928539920994728,0.41034074253145897,0.14129647205298554,0.13621863545407611,0.14679992002069442,1962,2330.578995063901,1.1878588150172789,,,0.18724995145677623,,5.340455323059641,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_test_whisper_10h_summary.json
Whisper large-v3,cascaded,10,fine-tuned 10h,moulsot_test,code_switched,194,0.43574210298572047,0.4133469104453437,0.4562584050394733,0.1829984912252839,0.17007645539337674,0.1966599480778648,1962,2330.578995063901,1.1878588150172789,,,0.18724995145677623,,5.340455323059641,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_test_whisper_10h_summary.json
Whisper large-v3,cascaded,10,fine-tuned 10h,moulsot_test,monolingual,1768,0.3963592540910821,0.38695741310642917,0.4053298444865464,0.13514684528549348,0.12979833563019502,0.14047769844004362,1962,2330.578995063901,1.1878588150172789,,,0.18724995145677623,,5.340455323059641,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_test_whisper_10h_summary.json
Whisper large-v3,cascaded,10,fine-tuned 10h,casablanca_ood,full,500,0.6112155924089588,0.5924182159803977,0.628558580914744,0.2312835651029626,0.22088604518517085,0.24186270967013396,500,484.93418891797774,0.9698683778359555,,,0.275238914709396,,3.6332071758669175,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_10h_summary.json
Whisper large-v3,cascaded,10,fine-tuned 10h,casablanca_ood,code_switched,0,,,,,,,500,484.93418891797774,0.9698683778359555,,,0.275238914709396,,3.6332071758669175,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_10h_summary.json
Whisper large-v3,cascaded,10,fine-tuned 10h,casablanca_ood,monolingual,500,0.6112155924089588,0.5924182159803977,0.628558580914744,0.2312835651029626,0.22088604518517085,0.24186270967013396,500,484.93418891797774,0.9698683778359555,,,0.275238914709396,,3.6332071758669175,2.2159331958823736,7892,10.000894166666663,0.3435213086526044,1000,1300,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_10h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,moulsot_test,full,1962,0.3922940753443602,0.3822975851621842,0.40328965975034536,0.14229658431048384,0.1354626710341683,0.15034268519350183,1962,2071.148095747456,1.0556310375878981,,,0.16640602237036473,,6.009397891708096,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_test_whisper_30h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,moulsot_test,code_switched,194,0.4128083080917352,0.3895788840721297,0.4352911319311025,0.17712221075200507,0.16129741346463405,0.19754333043573716,1962,2071.148095747456,1.0556310375878981,,,0.16640602237036473,,6.009397891708096,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_test_whisper_30h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,moulsot_test,monolingual,1768,0.38928707344919444,0.37822679275034315,0.4003402998212324,0.13716099114712632,0.12969005439498105,0.14527019564349744,1962,2071.148095747456,1.0556310375878981,,,0.16640602237036473,,6.009397891708096,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_test_whisper_30h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,casablanca_ood,full,500,0.5891605402632929,0.5700027842287914,0.6068691665281256,0.21783974108190773,0.20693742431790652,0.22845874797223828,500,340.42480595968664,0.6808496119193733,,,0.1932182887363899,,5.175493513268365,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_30h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,casablanca_ood,code_switched,0,,,,,,,500,340.42480595968664,0.6808496119193733,,,0.1932182887363899,,5.175493513268365,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_30h_summary.json
Whisper large-v3,cascaded,30,fine-tuned 30h,casablanca_ood,monolingual,500,0.5891605402632929,0.5700027842287914,0.6068691665281256,0.21783974108190773,0.20693742431790652,0.22845874797223828,500,340.42480595968664,0.6808496119193733,,,0.1932182887363899,,5.175493513268365,3.4112414167986977,23490,30.000023333333317,0.33008730691739424,1400,2000,/Users/mac/Downloads/results 3/final_casablanca_ood_whisper_30h_summary.json
